ID,Question Name,Acceptance,Difficulty,URL
1,Two Sum,43.0%,Easy,https://leetcode.com/problems/two-sum
2,Add Two Numbers,30.9%,Medium,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,28.1%,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,25.9%,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,26.9%,Medium,https://leetcode.com/problems/longest-palindromic-substring
10,Regular Expression Matching,25.1%,Hard,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,43.5%,Medium,https://leetcode.com/problems/container-with-most-water
15,3Sum,23.7%,Medium,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,40.9%,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number
19,Remove Nth Node From End of List,34.1%,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,36.2%,Easy,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,46.5%,Easy,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,54.0%,Medium,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,33.7%,Hard,https://leetcode.com/problems/merge-k-sorted-lists
31,Next Permutation,30.2%,Medium,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,25.2%,Hard,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,32.8%,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,33.2%,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,47.5%,Medium,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,42.5%,Hard,https://leetcode.com/problems/trapping-rain-water
46,Permutations,54.2%,Medium,https://leetcode.com/problems/permutations
48,Rotate Image,47.6%,Medium,https://leetcode.com/problems/rotate-image
49,Group Anagrams,45.7%,Medium,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,43.2%,Easy,https://leetcode.com/problems/maximum-subarray
55,Jump Game,31.6%,Medium,https://leetcode.com/problems/jump-game
